claim_id,claim_text_in_manuscript,experiment,metric,artefact,result_today,classification,confidence,literature_support,literature_constraint,falsified_if,limitation,allowed_wording_today,action_required
C1,All five architectures exceed 98% F1 in distribution on D_A,EXP-003 / E1a,"Acc, P, R, F1, ROC-AUC",tables/generated/indist.tex,none yet - no experiment has been executed,not_established,none,P03 reports strong in-distribution performance on this corpus; P05 reports F1 94.87% (O-CU) and 99.49% (O-DU),High in-distribution scores on this corpus are expected and unremarkable. The claim carries no weight on its own; it exists only to set up the transfer contrast,any architecture falls below the majority-class baseline,"a majority-class floor must be reported alongside it, or the number is uninterpretable (plan I5)",none - do not state a number,run EXP-003 with the B0 majority baseline included
C2,Every model loses 27-37 points of F1 under cross-deployment transfer,EXP-004 / E1b,delta_f1,"tables/generated/cross.tex, figures/generated/fig_gen.pdf",none yet - no experiment has been executed,not_established,none,P14 (2026) reports cross-domain generalisation failure for lightweight IDS on IIoT corpora; a large NIDS literature reports the same phenomenon,"The phenomenon is NOT novel. Only its measurement for an O-RAN detector, jointly with the deployment criteria, is ours. P14 further reports the evaluation protocol can reverse which target appears harder, so the ordering across architectures may be unstable",the 95% CI on delta_f1 includes 0 for any architecture,"D-004 decided (2026-09-20) against the single-exporter control, so the magnitude CONFLATES deployment shift with Zeek-vs-Argus exporter differences. Delta_F1 is an UPPER BOUND on deployment shift, not an estimate of it. Mitigations M1 (measure the exporter-only Delta_F1 on D_B, where deployment shift is zero by construction) and M2 (intersection sensitivity) are mandatory",none - do not state a number or a range,"run EXP-001b (M1) BEFORE quoting any Delta_F1; run EXP-004; add the I12 ordering-stability test. Claim text must say 'across an independently collected deployment AND an independent feature-extraction pipeline', never 'due to deployment shift'"
C3,Degradation is not an artefact of one corpus (reverse transfer is comparably poor),EXP-004 / E1c,delta_f1 reverse,text,none yet - no experiment has been executed,not_established,none,none retrieved - no O-RAN IDS study performs transfer in either direction,,"reverse transfer is materially better, indicating D_B is simply an easier corpus","D_B has no radio features, so reverse transfer runs on the shared 24-feature space only and is not symmetric with the forward direction",none,run EXP-004 B-to-A; state the asymmetry explicitly
C4,Errors are false-negative dominated under transfer,EXP-004 / E1b,confusion matrix,figures/generated/fig_conf.pdf,none yet - no experiment has been executed,not_established,none,"P03 reports 27-46% DoS-to-Benign confusion on this corpus, which is the same direction of error","P03 attributes their confusion to windowed statistical aggregation, not to model capacity. If we reproduce it we must not attribute it to transfer without ruling out windowing first","errors are FP dominated, or the FN dominance disappears when windowing changes",confounded with our A12 windowing policy,none,run EXP-004; run a windowing sensitivity check before attributing the asymmetry to transfer
C5,Radio KPIs raise in-distribution F1 and lower cross-deployment F1,EXP-005 / E2,"f1_indist, f1_cross",tables/generated/ablation.tex,none yet - no experiment has been executed,not_established,none,P03 establishes the in-distribution half on this exact corpus: radio features match or exceed network flows,"RESCOPE REQUIRED. The first half is prior work. Only the sign-flip under transfer is ours, and it is untested by anyone","the two deltas share a sign, meaning no trade-off exists","contingent on D_A actually exposing joinable radio telemetry (EXP-001); if the CU-DU join fails, this claim is withdrawn, not weakened",none,rescope the claim text to the transfer half; cite P03 for the in-distribution half; run EXP-005
C6,Models are miscalibrated under transfer,EXP-007 / E3a,"ECE, reliability curve",figures/generated/fig_calib.pdf,none yet - no experiment has been executed,not_established,none,none retrieved - no O-RAN IDS study reports calibration,,cross-deployment ECE is within the bootstrap CI of the in-distribution ECE,ECE is bin-sensitive; bootstrap CIs are mandatory (plan I7),none,run EXP-007 with bootstrap CIs
C7,Prior correction reduces ECE but not F1,EXP-007 / E3b,ECE pre/post,text,none yet - no experiment has been executed,not_established,none,standard result: neither temperature scaling nor prior correction is order-reversing,"the F1-unchanged part is a mathematical property, not an empirical finding, and must be stated as such","F1 changes materially, which would indicate an implementation error","requires pi_tr, the training prevalence, which is a property of the capture session rather than of any deployment",the F1-invariance may be stated as a property; the ECE reduction may not be quantified,run EXP-007
C8,The default threshold yields operationally unusable precision,EXP-006 / E4,"alerts_per_hour, PPV",figures/generated/fig_alerts.pdf,none yet - no experiment has been executed,not_established,none,P13 (Axelsson 2000) is the foundational analytical result; P19 restates it; P06 reports 0.6% FPR with no flow rate attached,The base-rate argument is 26 years old. Novelty cannot be the fallacy. Only the O-RAN quantification under measured transfer degradation is ours,PPV at tau=0.5 exceeds rho across the whole pi sweep,"lambda_b = 240000 flows/hour is a DECLARED parameter, not a measurement; pi is a modelling assumption. Both must be swept and both must be labelled as declared",the framing may cite Axelsson; no number may be stated,run EXP-006; report alerts per 10^5 benign flows as well as absolute alerts per hour
C9,Only the gradient-boosted ensemble meets the p99 budget,EXP-009 / E5a,q99_latency_ms,tables/generated/runtime.tex,none yet - no experiment has been executed,not_established,none,P04 (ICCCN 2026) measures a real FlexRIC xApp against the same 10 ms budget and reports p95 compliance; P05 measures ~600-850 ms against a 1000 ms budget,CRITICAL RESCOPE. P04 and P05 reach opposite-magnitude results because they pick opposite ends of the 10 ms - 1 s near-RT range. A single-value budget makes this verdict an authoring choice rather than a measurement,"the floor experiment p99 is already near B, which would make the comparison uninformative","D-005 decided: Level 2, a real Near-RT RIC under SYNTHETIC E2 load on a separate Linux host, no gNB. Permitted phrasing is 'measured on a real Near-RT RIC under synthetic E2 load'. Real-RAN arrival process and over-the-air effects are out of scope and belong in Limitations",none,"adopt I11 (sweep B over [10 ms, 1 s] and report each architecture's crossing point); provision the Linux measurement host; run the floor experiment first; record the synthetic arrival process as a reported parameter, since a Poisson and a periodic generator produce different tails"
C10,"Feature extraction dominates latency, not inference",EXP-009 / E5b,t_feat / L,tables/generated/runtime.tex,none yet - no experiment has been executed,not_established,none,"P04 measures a C-exported logistic regression at 1-5 microseconds and an MLP at 10-25 microseconds inside a real xApp, which is consistent with inference being negligible","This becomes the LOAD-BEARING latency claim, because P04 has effectively closed the inference-cost question. It must be measured per stage, not inferred",inference exceeds feature construction for any architecture at any tested load,stage attribution requires instrumentation that does not itself perturb the tail,none,adopt I14 (per-stage breakdown); run EXP-009
